model,avg_train_mse,avg_test_mse,avg_train_sharpe,avg_test_sharpe,std_train_mse,std_test_mse,std_train_sharpe,std_test_sharpe,avg_train_mae,avg_test_mae,std_train_mae,std_test_mae,avg_train_r2,avg_test_r2,std_train_r2,std_test_r2,avg_train_sortino,avg_test_sortino,std_train_sortino,std_test_sortino,avg_train_hit,avg_test_hit,std_train_hit,std_test_hit
TCNFalse,0.012450026446738495,0.39609218505211174,-4.089697306715441,-15.253255875305381,0.011403096533765493,0.9928987017868768,3.2653191075335863,19.788007821525138,0.07846720201464799,0.34075385016890675,0.03909491228625443,0.3968673152764864,-100.75132531386156,-8827.385387420654,80.96697900422906,25998.352027548724,-5.435518881787274,-16.776563154957124,4.470540173010007,19.87886385704204,0.5053604468958485,0.4971194499984415,0.018700198021746148,0.055254606250071926
LSTMFalse,0.00010803549006455936,0.00012576629636057007,-0.20133174954279348,-14.89567609720077,1.7501102301881238e-05,8.229497110301909e-05,2.912436519635227,21.51357890670611,0.00727634343247001,0.008184141121231593,0.0006213135395394904,0.002419423446864207,0.08164238929748535,-0.46498222534473127,0.022760017583090826,0.33421764967516215,-0.5977428921372987,-16.13595951233482,5.656337460188543,22.178912346766538,0.5688427976648011,0.529248241027667,0.023574031769718163,0.04878161897206658
FeedForwardFalse,9.304740636322934e-05,0.0003237638587821633,2.0306911582014973,-14.505921474776674,1.4144795896802059e-05,0.0003114051916232074,2.6340359137105382,19.812350890928723,0.007009605447260233,0.012970859757982768,0.0006919156613576786,0.006437884546151862,0.2604569701048044,-2.7048939879123983,0.06090802224301717,3.4974156978806343,5.980167077238714,-17.224991899484095,8.189505808886516,22.001292018590792,0.6292140786926853,0.5418104834557135,0.0282260128749095,0.05521401719277069
TFTFalse,0.0001104047209642326,0.0002231957657316413,0.22392686794418085,-12.263307912571191,2.6757127931316445e-05,0.0004962283282824473,2.7320684556459582,19.031989574937445,0.007334395096852229,0.007477511580173786,0.0008835379459322657,0.003792000827340833,0.1340480905312758,-0.2929737063554617,0.07798714466260667,0.933920736302935,-0.41377821117995295,-16.26079432828558,6.832571636578782,23.47943832184331,0.5917356346402285,0.5842388917462328,0.04211230807805504,0.05376340737556593
TransformerFalse,0.0001213469535846693,0.00011142793720444807,-1.7708321505792388,-11.460157458977843,1.84765531860156e-05,4.959138031191982e-05,1.9927734752797166,14.428306709137987,0.007752809351166854,0.008012261277494522,0.0007073211500995314,0.0018217623698354019,-0.03371709126692552,-0.5031722784042358,0.05269368415770715,0.8285492612589609,-2.689708289585847,-13.544778430068236,2.974032947927087,14.93083229803534,0.5138931066563652,0.4968461767912618,0.04503660744550412,0.058175353115503696
CNNFalse,0.0002590742448004536,0.0014331521703682553,-1.148975902388521,-14.608545010047154,0.00015159204143994748,0.003978104429601829,2.7632588417573185,18.656308589710513,0.01287319683111631,0.01980976566958886,0.004861538569434901,0.026067979338032433,-1.2450456802661602,-32.03794322564052,1.3911880998983466,103.90351682665609,-1.5840341304410686,-16.26494006616029,4.6051299393729135,19.63651001580539,0.515562801059588,0.49709543440371173,0.06283171609298432,0.052735485150113066
TCNTrue,0.005875842797999771,0.0664142643352254,-4.064156879963534,-15.935050100360579,0.0037297848835400587,0.11905213217891303,3.4020036160380203,20.530657643953152,0.05609309100187742,0.1334900248509187,0.019693538523390643,0.10971980474510437,-51.02212381362915,-570.3004025679368,37.01448027233754,779.589202663226,-5.602270302335743,-18.626516615499774,4.799868841936866,22.246154697766013,0.5091878262880386,0.511309165317546,0.01635358813544919,0.03801610448904427
LSTMTrue,0.00011591319567882098,9.020880763553298e-05,-1.6083631183090632,-13.666976307862894,1.9595578921730268e-05,5.6265419661630924e-05,2.5957477801739084,19.18148536194319,0.007388206342091927,0.006727522024168418,0.0006700501863466815,0.001985364621198587,0.015719244113335244,-0.03833793218319233,0.00627850976672363,0.09650859948672434,-2.5194452568914047,-14.631931078119297,4.151574903784448,19.360588042468756,0.5431573994036856,0.5268912221461182,0.01881151341122263,0.035707338208457215
FeedForwardTrue,0.00013642680893938703,0.00012356053216185851,-1.5097810672848848,-11.493306623634043,3.5348995669685684e-05,0.00010758832626477881,1.8919710313075166,14.95096204411563,0.008101581380917476,0.007684995169536426,0.0012911466804066333,0.0024769748389723172,-0.06969226323641263,-0.26538055676680344,0.15756808730264382,0.45146683961286216,-2.3975170187467425,-13.99042872802831,3.0275929059124342,16.55699425979161,0.5456149681832652,0.5358768143655603,0.040423898956153385,0.05868959577527641
TFTTrue,0.00012431950129282015,0.00011483950024390091,-1.472772851605264,-10.90176971129688,2.3604204236134457e-05,0.00012969300163057602,2.5523679539742097,15.958433541610509,0.007602873043372081,0.007036381114560824,0.0007736514391079966,0.00244475432582965,0.018987385126260612,-0.044542743609501764,0.04735665650663923,0.15637485679891117,-2.3946584533648383,-12.690543674231296,4.123817942022649,17.330776804606188,0.5664364357212226,0.5702507517636032,0.02135251012829587,0.027219044725327945
TransformerTrue,0.00013021577895135403,0.00010071242482249196,-1.6501207666146873,-10.60060400875531,2.1903537075889316e-05,5.602302413688195e-05,1.8511237439260244,13.207168190262738,0.00809414777904749,0.007387125470603888,0.0009905697281723646,0.0020957356437606976,-0.117366951245528,-0.2184877762427697,0.1778611149157503,0.38449837586019225,-2.3031663967793095,-12.160617019422189,2.638645670987272,13.609034675837782,0.5248734707774786,0.5073185613191321,0.04227889736338482,0.057294960852413944
CNNTrue,0.0001958009177962175,0.0001583431137707801,-2.311269914384557,-13.366899937867593,0.0001389137557032876,0.00011463630559082461,2.1912080613139144,17.856360876238238,0.01030486746906088,0.009428941608908085,0.004257610891848982,0.0038533804291145898,-0.659388569685129,-1.0668328817074115,1.1461640354065588,1.8011399358382,-3.6249215319268364,-15.412431039897768,3.5516612135411716,18.433287190978685,0.4869814936447559,0.4761557127410051,0.04898687972357124,0.05810515076218519
